[2024-06-06T15:04:24.403+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01084%3A_STIF%3AStopPoint%3AQ%3A37143%3A [status:201 duration:0.176s]
[2024-06-06T15:04:24.581+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01419%3A_STIF%3AStopPoint%3AQ%3A37143%3A [status:201 duration:0.169s]
[2024-06-06T15:04:24.753+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00394%3A_STIF%3AStopPoint%3AQ%3A29666%3A [status:201 duration:0.165s]
[2024-06-06T15:04:24.906+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01495%3A_STIF%3AStopPoint%3AQ%3A411572%3A [status:201 duration:0.149s]
[2024-06-06T15:04:25.065+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01873%3A_STIF%3AStopPoint%3AQ%3A488707%3A [status:201 duration:0.155s]
[2024-06-06T15:04:25.249+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01620%3A_STIF%3AStopPoint%3AQ%3A9415%3A [status:201 duration:0.177s]
[2024-06-06T15:04:25.412+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00386%3A_STIF%3AStopPoint%3AQ%3A9415%3A [status:201 duration:0.160s]
[2024-06-06T15:04:25.581+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01393%3A_STIF%3AStopPoint%3AQ%3A7430%3A [status:201 duration:0.166s]
[2024-06-06T15:04:25.737+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00476%3A_STIF%3AStopPoint%3AQ%3A7430%3A [status:201 duration:0.150s]
[2024-06-06T15:04:25.904+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00211%3A_STIF%3AStopPoint%3AQ%3A419510%3A [status:201 duration:0.163s]
[2024-06-06T15:04:26.054+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC02184%3A_STIF%3AStopPoint%3AQ%3A415355%3A [status:201 duration:0.146s]
[2024-06-06T15:04:26.209+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01125%3A_STIF%3AStopPoint%3AQ%3A22639%3A [status:201 duration:0.153s]
[2024-06-06T15:04:26.367+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01133%3A_STIF%3AStopPoint%3AQ%3A39336%3A [status:201 duration:0.154s]
